brand_id,model_name
57,S 63 AMG
57,S 65 AMG
57,SLS AMG
57,SL-class
57,SL 300
57,SL 320
57,SL 350
57,SL 500
57,SL 55 AMG
57,SL 63 AMG
57,SL 65 AMG
57,V-class
57,V 220
57,V 250
58,4
58,5
58,EHS
58,GS Exclusive
58,MG4
58,Marvel R
58,Mga
58,Mgb
58,Mgf
58,Tf
58,ZS EV
58,Zr
58,Zs
58,Zt
58,Zt-t
59,Clubman
59,Cooper
59,Cooper cabrio
59,Cooper s
59,Cooper s cabrio
59,Countryman
59,Coupe
59,D one
59,John Cooper Works
59,One
59,One cabrio
59,Paceman
60,3000 gt
60,ASX
60,Attrage
60,Carisma
60,Colt
60,Cordia
60,Eclipse
60,Eclipse Cross
60,Galant
60,Grandis
60,I-MiEV
60,L200
60,Lancer
60,Mirage
60,Montero
60,Outlander
60,Pajero
60,Pajero pinin
60,Pajero sport
60,RVR
60,Sapporo
60,Sigma
60,Space gear
60,Space runner
60,Space star
60,Space wagon
60,Starion
60,Tredia
61,Auro8
62,1360
62,1361
62,1500
62,2136
62,2138
62,2140
62,2141
62,21412
62,21417
62,2142
62,2715
62,401
62,403
62,407
62,408
62,412
62,426
62,427
62,503
62,Aleko
62,Иж
63,100 nx
63,200 sx
63,240 z
63,280 z
63,300 zx
63,350z
63,370Z
63,Acura
63,Almera
63,Almera tino
63,Altima
63,Ariya
63,Armada
63,Bluebird
63,Cedric
63,Cherry
63,Cube
63,Figaro
63,Frontier
63,Gt-r
63,Juke
63,Kubistar
63,Laurel
63,Leaf
63,Maxima
63,Micra
63,Murano
63,NP300
63,Navara
63,Note
63,Pathfinder
63,Patrol
63,Pickup
63,Pixo
63,Prairie
63,Primera
63,Pulsar
63,Qashqai
63,Quest
63,Rogue
63,Sentra
63,Serena
63,Silvia
63,Skyline
63,Stantza
63,Sunny
63,Teana
63,Terrano
63,Tiida
63,Titan crew cab
63,Titan king
63,Versa
63,X-trail
63,Xterra
63,e-NV200
64,Adam
64,Admiral
64,Agila
64,Ampera
64,Antara
64,Ascona
64,Astra
64,Calibra
64,Campo
64,Cascada
64,Combo
64,Commodore
64,Corsa
64,Crossland X
64,Diplomat
64,Frontera
64,Grandland X
64,Gt
64,Insignia
64,Kadett
64,Kapitaen
64,Karl
64,Manta
64,Meriva
64,Mokka
64,Mokka X
64,Monterey
64,Monza
64,Omega
64,Rekord
64,Senator
64,Signum
64,Sintra
64,Speedster
64,Tigra
64,Vectra
64,Zafira
65,Zonda
65,Zonda S
65,Zonda Roadster
65,Zonda F
65,Zonda F Roadster
65,Zonda Cinque Roadster
65,Zonda Cinque
65,Huayra
65,Huayra Roadster
65,Imola
65,Utopia
66,1007
66,104
66,106
66,107
66,108
66,2008
66,202
66,204
66,205
66,206
66,207
66,208
66,3008
66,301
66,304
66,305
66,306
66,307
66,308
66,309
66,4007
66,4008
66,402
66,403
66,404
66,405
66,406
66,407
66,408
66,5008
66,504
66,505
66,508
66,604
66,605
66,607
66,806
66,807
66,Bipper
66,Expert
66,Partner
66,RCZ
66,Range
66,Rifter
66,Traveler
66,iOn
67,Aztec
67,Bonneville
67,Fiero
67,Firebird
67,G6
67,Grand am
67,Grand prix
67,Gto
67,Lemans
67,Solstice
67,Sunbird
67,Sunfire
67,Tempest
67,Torrent
67,Trans am
67,Trans sport
67,Vibe
68,Acclaim
68,Barracuda
